simulation,gcb,dem_house_seats,rep_house_seats,dem_house_win,rep_house_win,dem_senate_seats,rep_senate_seats,dem_senate_win,rep_senate_win
299,12.746770802893225,262.0,173.0,100.0,0.0,53.0,47.0,100.0,0.0
300,16.558457030773223,287.0,148.0,100.0,0.0,57.0,43.0,100.0,0.0
301,1.8965375554232244,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
302,7.652854026153225,243.0,192.0,100.0,0.0,49.0,51.0,0.0,100.0
303,-10.889796620746775,191.0,244.0,0.0,100.0,42.0,58.0,0.0,100.0
304,20.129385540883224,310.0,125.0,100.0,0.0,58.0,42.0,100.0,0.0
305,0.7827389172432244,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
306,7.844708675413225,243.0,192.0,100.0,0.0,49.0,51.0,0.0,100.0
307,2.1521868296232243,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
308,-9.070214224416775,198.0,237.0,0.0,100.0,43.0,57.0,0.0,100.0
309,6.471091034103225,239.0,196.0,100.0,0.0,49.0,51.0,0.0,100.0
310,1.1010619772232244,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
311,-1.4489245448567756,218.0,217.0,100.0,0.0,46.0,54.0,0.0,100.0
312,5.067121448253225,235.0,200.0,100.0,0.0,49.0,51.0,0.0,100.0
313,-6.597242948506775,205.0,230.0,0.0,100.0,45.0,55.0,0.0,100.0
314,-11.854150107576775,186.0,249.0,0.0,100.0,42.0,58.0,0.0,100.0
315,16.374779663213225,286.0,149.0,100.0,0.0,57.0,43.0,100.0,0.0
316,5.158120382993225,236.0,199.0,100.0,0.0,49.0,51.0,0.0,100.0
317,4.4391577696032245,232.0,203.0,100.0,0.0,49.0,51.0,0.0,100.0
