office_code,datawrapper,state,dem_fec_id,dem_name,dem_first_name,dem_last,dem_status,rep_fec_id,rep_name,rep_first_name,rep_last,rep_status,incumbent_bonus,dem_polling,rep_polling,polling_margin,num_polls,total_weight,dem_funds,rep_funds,funds_score,trump_16,clinton_16,trump_20,biden_20,trump_24,harris_24,dem_24,rep_24,total_adult_pop,white,hispanic,black,asian,native_american,pacific_islander,income_lt25k,income_25_50k,income_50_100k,income_100_200k,income_200kplus,edu_hs,edu_bachelor,edu_grad,urban,suburban,rural,lean,date,margin,dem_probability,rep_probability,dem_polling,rep_polling,polling_avg,fundamentals,polling_weight,fundamentals_weight,dem_pct,rep_pct,has_polls,24to26,rating,datawrapper_incumbent_bonus,datawrapper_polling_margin,datawrapper_funds_score,datawrapper_24to26,datawrapper_margin
CA-07,CA-07,CA,H6CA05195,Doris Matsui,Doris,Matsui,INCUMBENT,H6CA07134,Heath Fulkerson,Heath,Fulkerson,CHALLENGER,1.8759191959063641,,,,,,412953.06499999994,0.0,3.3384040080440553,72197.0,172950.0,102669.0,228812.0,103118.0,195104.0,197429.0,98341.0,,,,,,,,,,,,,,,,,,,34.60754564283324,2025-10-07,40.06380428012155,76.4930104625182,23.5069895374818,,,,39.309948735295386,0.0,1.0,70.03190214006078,29.96809785993922,False,9.218997391293765,Likely D,D+1.9,N/A,D+3.3,D+9.2,D+40.1
CA-08,CA-08,CA,H0CA10149,John Garamendi,John,Garamendi,INCUMBENT,H2CA00153,Rudy Recile,Rudy,Recile,CHALLENGER,2.1823011865107986,,,,,,815128.71,1953.9099999999999,4.218781971239843,49738.0,191679.0,70622.0,243604.0,75771.0,200015.0,201962.0,71068.0,,,,,,,,,,,,,,,,,,,49.56355838708288,2025-10-07,54.26489736011807,83.6559128336305,16.344087166369505,,,,54.910405121545885,0.0,1.0,77.13244868005904,22.867551319940958,False,9.214024581949488,Likely D,D+2.2,N/A,D+4.2,D+9.2,D+54.3
CA-09,CA-09,CA,H8CA10126,Josh Harder,Josh,Harder,INCUMBENT,H6CA09122,James H Shoemaker,James,Shoemaker,CHALLENGER,2.680327220146069,,,,,,1788006.915,6219.99,5.230747016316593,89860.0,118751.0,121500.0,157507.0,127491.0,122904.0,130183.0,121174.0,,,,,,,,,,,,,,,,,,,3.655209360602889,2025-10-07,10.223957923627747,57.203292863921504,42.796707136078496,,,,9.840055973361107,0.0,1.0,55.111978961813875,44.888021038186125,False,12.05586351279686,Toss-up,D+2.7,N/A,D+5.2,D+12.1,D+10.2
CA-10,CA-10,CA,H0CA10073,Mark Desaulnier,Mark,Desaulnier,INCUMBENT,H4CA10109,Katherine Piccinini,Katherine,Piccinini,CHALLENGER,-0.4163895683544111,,,,,,469659.52,2570.69,3.436522631681739,93574.0,211214.0,119723.0,281126.0,119198.0,247321.0,242325.0,122219.0,,,,,,,,,,,,,,,,,,,37.89076000973482,2025-10-07,40.749981180094,76.8856570551431,23.1143429448569,,,,41.11401657117529,0.0,1.0,70.37499059004699,29.62500940995301,False,5.793266794209501,Likely D,R+0.4,N/A,D+3.4,D+5.8,D+40.7
CA-11,CA-11,CA,H8CA05035,Nancy Pelosi,Nancy,Pelosi,INCUMBENT,H6CA11235,David L Ganezer,David,Ganezer,CHALLENGER,-2.8258424550088423,,,,,,2765379.64,3.66,6.046134287946131,32160.0,312231.0,46229.0,339768.0,50870.0,295463.0,274796.0,64315.0,,,,,,,,,,,,,,,,,,,74.10722150191775,2025-10-07,77.51029059602996,91.23807401504598,8.761925984954019,,,,77.02898196705412,0.0,1.0,88.75514529801498,11.24485470198502,False,6.88664225758113,Likely D,R+2.8,N/A,D+6.0,D+6.9,D+77.5
CA-12,CA-12,CA,H4CA12154,Lateefah Simon,Lateefah,Simon,INCUMBENT,H6CA12191,Heath Vincent Fulkerson,Heath,Fulkerson,CHALLENGER,10.0,,,,,,567776.485,0.0,3.77115556777826,21229.0,287461.0,31749.0,329764.0,33869.0,269148.0,269148.0,33869.0,,,,,,,,,,,,,,,,,,,80.86075021196062,2025-10-07,91.4807258750215,94.32631677426716,5.6736832257328444,,,,91.19558295368564,0.0,1.0,95.74036293751075,4.259637062489247,False,13.835247238509368,Likely D,D+10.0,N/A,D+3.8,D+13.8,D+91.5
CA-13,CA-13,CA,H2CA13115,Adam C Gray,Adam,Gray,INCUMBENT,H4CA14093,Vin Kruttiventi,Vin,Kruttiventi,CHALLENGER,2.7577787236767697,,,,,,919154.5149999999,261010.875,1.70489426695419,72550.0,95197.0,99784.0,124910.0,112433.0,100559.0,105554.0,105367.0,,,,,,,,,,,,,,,,,,,0.5203145229237469,2025-10-07,5.458949057179907,53.858655601210096,46.141344398789904,,,,4.993869096687897,0.0,1.0,52.729474528589954,47.270525471410046,False,11.03380632881452,Toss-up,D+2.8,N/A,D+1.7,D+11.0,D+5.5
CA-14,CA-14,CA,H2CA15094,Eric Michael Swalwell,Eric,Swalwell,INCUMBENT,GENERIC-REP,Generic Republican,Generic,Republican,GENERIC,0.04066759289701738,,,,,,1117785.68,0.0,10.0,63821.0,191918.0,87718.0,240132.0,88263.0,191274.0,187263.0,89125.0,,,,,,,,,,,,,,,,,,,41.26217032614138,2025-10-07,45.87165044143112,79.72551149024372,20.27448850975628,,,,45.43500158188791,0.0,1.0,72.93582522071556,27.064174779284443,False,9.021072521513545,Likely D,D+0.0,N/A,D+10.0,D+9.0,D+45.9
CA-15,CA-15,CA,H2CA14162,Kevin Mullin,Kevin,Mullin,INCUMBENT,H4CA15074,Anna Kramer,Anna,Kramer,CHALLENGER,-0.8489656543297669,,,,,,293731.055,7037.73,2.6942198340818306,51218.0,213596.0,71567.0,273033.0,74250.0,220603.0,211648.0,77896.0,,,,,,,,,,,,,,,,,,,53.7889238972302,2025-10-07,56.587269152665826,84.55881254951397,15.441187450486026,,,,56.352645002553814,0.0,1.0,78.29363457633292,21.70636542366708,False,6.951348880530219,Likely D,R+0.8,N/A,D+2.7,D+7.0,D+56.6
CA-16,CA-16,CA,H4CA16197,Sam T Liccardo,Sam,Liccardo,INCUMBENT,GENERIC-REP,Generic Republican,Generic,Republican,GENERIC,10.0,,,,,,1443212.02,0.0,10.0,64663.0,253691.0,85514.0,288038.0,82398.0,249344.0,249344.0,82398.0,,,,,,,,,,,,,,,,,,,53.41604079190313,2025-10-07,63.97272594361108,87.21403045558961,12.785969544410392,,,,64.41279209329333,0.0,1.0,81.98636297180553,18.013637028194466,False,13.648678943231268,Likely D,D+10.0,N/A,D+10.0,D+13.6,D+64.0
